-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature
-- table       	main
-- field 1	id
-- field 2	type
-- field 3	name
-- field 4	contig
-- field 5	start_pos
-- field 6	end_pos
-- field 7	strand
-- field 8	description
-- field 9	chrom_position
-- field 10	organism
-- field 11	GeneID
-- header
-- id	type	name	contig	start_pos	end_pos	strand	description	chrom_position	organism	GeneID
83333000001	SEQ_END	SEQ_END	NC_000913.2	4639675	4639675	DR	NC_000913.2; contig end	4639675..4639675	Escherichia coli K12	<NULL_VALUE>
NP_417067.1	CDS	rseA	NC_000913.2	2706776	2707426	R	anti-sigma factor	complement(2706776..2707426)	Escherichia coli K12	947053
NP_417068.1	CDS	rpoE	NC_000913.2	2707459	2708034	R	RNA polymerase, sigma 24 (sigma E) factor	complement(2707459..2708034)	Escherichia coli K12	947050
NP_417069.1	CDS	nadB	NC_000913.2	2708442	2710064	D	quinolinate synthase, L-aspartate oxidase (B protein) subunit	2708442..2710064	Escherichia coli K12	947049
NP_417070.2	CDS	yfiC	NC_000913.2	2710049	2710786	R	predicted S-adenosyl-L-methionine-dependent methyltransferase	complement(2710049..2710786)	Escherichia coli K12	947047
NP_417071.1	CDS	srmB	NC_000913.2	2710918	2712252	D	ATP-dependent RNA helicase	2710918..2712252	Escherichia coli K12	947055
NP_417072.4	CDS	yfiE	NC_000913.2	2712461	2713342	R	predicted DNA-binding transcriptional regulator	complement(2712461..2713342)	Escherichia coli K12	947064
NP_417073.1	CDS	eamB	NC_000913.2	2713445	2714032	D	neutral amino-acid efflux system	2713445..2714032	Escherichia coli K12	947065
NP_417074.1	CDS	yfiD	NC_000913.2	2714088	2714471	R	pyruvate formate lyase subunit	complement(2714088..2714471)	Escherichia coli K12	947068
NP_417075.1	CDS	ung	NC_000913.2	2714776	2715465	D	uracil-DNA-glycosylase	2714776..2715465	Escherichia coli K12	947067
NP_417076.1	CDS	yfiF	NC_000913.2	2715513	2716550	R	predicted methyltransferase	complement(2715513..2716550)	Escherichia coli K12	947066
NP_417077.1	CDS	trxC	NC_000913.2	2716757	2717176	D	thioredoxin 2	2716757..2717176	Escherichia coli K12	947062
NP_417078.4	CDS	yfiP	NC_000913.2	2717245	2717943	D	conserved protein	2717245..2717943	Escherichia coli K12	947057
NP_417079.1	CDS	yfiQ	NC_000913.2	2717975	2720635	D	fused predicted acyl-CoA synthetase: NAD(P)-binding subunit/ATP-binding subunit	2717975..2720635	Escherichia coli K12	947056
NP_417080.4	CDS	pssA	NC_000913.2	2720749	2722104	D	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2720749..2722104	Escherichia coli K12	947059
NP_417081.2	CDS	yfiM	NC_000913.2	2722150	2722473	D	predicted protein	2722150..2722473	Escherichia coli K12	947060
NP_417082.1	CDS	kgtP	NC_000913.2	2722470	2723768	R	alpha-ketoglutarate transporter	complement(2722470..2723768)	Escherichia coli K12	947069
NP_417083.1	CDS	clpB	NC_000913.2	2729622	2732195	R	protein disaggregation chaperone	complement(2729622..2732195)	Escherichia coli K12	947077
NP_417084.1	CDS	yfiH	NC_000913.2	2732325	2733056	R	conserved protein	complement(2732325..2733056)	Escherichia coli K12	947089
NP_417085.1	CDS	rluD	NC_000913.2	2733053	2734033	R	23S rRNA pseudouridine synthase	complement(2733053..2734033)	Escherichia coli K12	947087
NP_417086.1	CDS	yfiO	NC_000913.2	2734168	2734905	D	predicted lipoprotein	2734168..2734905	Escherichia coli K12	947086
NP_417088.1	CDS	raiA	NC_000913.2	2735176	2735517	D	cold shock protein associated with 30S ribosomal subunit	2735176..2735517	Escherichia coli K12	947129
NP_417089.1	CDS	pheL	NC_000913.2	2735621	2735668	D	pheA gene leader peptide	2735621..2735668	Escherichia coli K12	947080
NP_417090.1	CDS	pheA	NC_000913.2	2735767	2736927	D	fused chorismate mutase P/prephenate dehydratase	2735767..2736927	Escherichia coli K12	947081
NP_417091.1	CDS	tyrA	NC_000913.2	2736970	2738091	R	fused chorismate mutase T/prephenate dehydrogenase	complement(2736970..2738091)	Escherichia coli K12	947115
NP_417092.1	CDS	aroF	NC_000913.2	2738102	2739172	R	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible	complement(2738102..2739172)	Escherichia coli K12	947084
NP_417093.2	CDS	yfiL	NC_000913.2	2739382	2739747	D	predicted protein	2739382..2739747	Escherichia coli K12	947106
NP_417094.1	CDS	yfiR	NC_000913.2	2739897	2740415	D	predicted protein	2739897..2740415	Escherichia coli K12	947090
NP_417095.1	CDS	yfiN	NC_000913.2	2740405	2741631	D	predicted diguanylate cyclase	2740405..2741631	Escherichia coli K12	947091
NP_417096.1	CDS	yfiB	NC_000913.2	2741647	2742129	D	predicted outer membrane lipoprotein	2741647..2742129	Escherichia coli K12	947094
NP_417097.1	CDS	rplS	NC_000913.2	2742205	2742552	R	50S ribosomal subunit protein L19	complement(2742205..2742552)	Escherichia coli K12	947096
NP_417098.1	CDS	trmD	NC_000913.2	2742594	2743361	R	tRNA (guanine-1-)-methyltransferase	complement(2742594..2743361)	Escherichia coli K12	947099
NP_417099.4	CDS	rimM	NC_000913.2	2743392	2743940	R	16S rRNA processing protein	complement(2743392..2743940)	Escherichia coli K12	947101
NP_417100.1	CDS	rpsP	NC_000913.2	2743959	2744207	R	30S ribosomal subunit protein S16	complement(2743959..2744207)	Escherichia coli K12	947103
NP_417101.1	CDS	ffh	NC_000913.2	2744456	2745817	R	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	complement(2744456..2745817)	Escherichia coli K12	947102
NP_417102.4	CDS	ypjD	NC_000913.2	2745984	2746775	D	predicted inner membrane protein	2745984..2746775	Escherichia coli K12	947098
YP_026171.3	CDS	yfjD	NC_000913.2	2746796	2748082	D	predicted inner membrane protein	2746796..2748082	Escherichia coli K12	2847739
NP_417104.1	CDS	grpE	NC_000913.2	2748137	2748730	R	heat shock protein	complement(2748137..2748730)	Escherichia coli K12	947097
NP_417105.1	CDS	nadK	NC_000913.2	2748853	2749731	D	NAD kinase	2748853..2749731	Escherichia coli K12	947092
YP_026172.1	CDS	recN	NC_000913.2	2749817	2751478	D	recombination and repair protein	2749817..2751478	Escherichia coli K12	947105
NP_417107.2	CDS	smpA	NC_000913.2	2751627	2751968	D	small membrane lipoprotein	2751627..2751968	Escherichia coli K12	945583
NP_417108.4	CDS	yfjF	NC_000913.2	2752030	2752320	R	predicted protein	complement(2752030..2752320)	Escherichia coli K12	945078
NP_417109.1	CDS	yfjG	NC_000913.2	2752310	2752786	R	conserved protein	complement(2752310..2752786)	Escherichia coli K12	945614
NP_417110.1	CDS	smpB	NC_000913.2	2752918	2753400	D	trans-translation protein	2752918..2753400	Escherichia coli K12	947296
NP_417111.1	CDS	intA	NC_000913.2	2754181	2755422	D	CP4-57 prophage; integrase	2754181..2755422	Escherichia coli K12	946160
NP_417112.1	CDS	yfjH	NC_000913.2	2755666	2756622	R	CP4-57 prophage; predicted protein	complement(2755666..2756622)	Escherichia coli K12	946123
NP_417113.1	CDS	alpA	NC_000913.2	2756666	2756878	D	CP4-57 prophage; DNA-binding transcriptional activator	2756666..2756878	Escherichia coli K12	946758
NP_417114.1	CDS	yfjI	NC_000913.2	2757007	2758416	D	CP4-57 prophage; predicted protein	2757007..2758416	Escherichia coli K12	944764
NP_417115.1	CDS	yfjJ	NC_000913.2	2758569	2759195	D	CP4-57 prophage; predicted protein	2758569..2759195	Escherichia coli K12	947112
NP_417116.1	CDS	yfjK	NC_000913.2	2759373	2761562	R	CP4-57 prophage; conserved protein	complement(2759373..2761562)	Escherichia coli K12	947111
NP_417117.1	CDS	yfjL	NC_000913.2	2761559	2763175	R	CP4-57 prophage; predicted protein	complement(2761559..2763175)	Escherichia coli K12	947110
NP_417118.1	CDS	yfjM	NC_000913.2	2763535	2763798	R	CP4-57 prophage; predicted protein	complement(2763535..2763798)	Escherichia coli K12	947108
NP_417119.1	CDS	rnlA	NC_000913.2	2763940	2765013	D	CP4-57 prophage; RNase LS	2763940..2765013	Escherichia coli K12	947107
NP_417120.2	CDS	yfjO	NC_000913.2	2765006	2765377	D	CP4-57 prophage; predicted protein	2765006..2765377	Escherichia coli K12	947113
YP_026173.1	CDS	yfjP	NC_000913.2	2765732	2766595	D	CP4-57 prophage; predicted GTP-binding protein	2765732..2766595	Escherichia coli K12	947124
NP_417122.1	CDS	yfjQ	NC_000913.2	2766687	2767508	D	CP4-57 prophage; predicted protein	2766687..2767508	Escherichia coli K12	947127
NP_417123.1	CDS	yfjR	NC_000913.2	2767725	2768426	D	CP4-57 prophage; predicted DNA-binding transcriptional regulator	2767725..2768426	Escherichia coli K12	947309
YP_026174.2	CDS	ypjK	NC_000913.2	2768467	2768703	D	CP4-57 prophage; predicted inner membrane protein	2768467..2768703	Escherichia coli K12	2847710
NP_417124.4	CDS	yfjS	NC_000913.2	2768703	2769146	D	CP4-57 prophage; predicted protein	2768703..2769146	Escherichia coli K12	945668
NP_417125.1	CDS	yfjT	NC_000913.2	2769170	2769637	D	CP4-57 prophage; predicted protein	2769170..2769637	Escherichia coli K12	947616
b2638	CDS	yfjU	NC_000913.2	2770024	2770176	R	b2638	complement(2770024..2770176)	Escherichia coli K12	945062
b2641	CDS	yfjV	NC_000913.2	2770189	2771204	R	b2641	complement(join(2770189..2771088,2771088..2771204))	Escherichia coli K12	947563
NP_417129.1	CDS	yfjW	NC_000913.2	2771340	2773043	D	CP4-57 prophage; predicted inner membrane protein	2771340..2773043	Escherichia coli K12	947128
b4644	CDS	ypjI	NC_000913.2	2773567	2773838	D	b4644	join(2773567..2773746,2773746..2773838)	Escherichia coli K12	5625570
NP_417130.1	CDS	yfjX	NC_000913.2	2773941	2774399	D	CP4-57 prophage; predicted antirestriction protein	2773941..2774399	Escherichia coli K12	947126
NP_417131.1	CDS	yfjY	NC_000913.2	2774408	2774890	D	CP4-57 prophage; predicted DNA repair protein	2774408..2774890	Escherichia coli K12	947125
YP_588466.1	CDS	ypjJ	NC_000913.2	2774899	2775099	D	predicted protein	2774899..2775099	Escherichia coli K12	1450287
NP_417132.1	CDS	yfjZ	NC_000913.2	2775137	2775454	D	CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system	2775137..2775454	Escherichia coli K12	947123
NP_417133.1	CDS	ypjF	NC_000913.2	2775475	2775804	D	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system	2775475..2775804	Escherichia coli K12	947131
NP_417134.2	CDS	ypjA	NC_000913.2	2776168	2780748	R	adhesin-like autotransporter	complement(2776168..2780748)	Escherichia coli K12	948630
b2648	CDS	pinH	NC_000913.2	2781087	2781326	R	b2648	complement(2781087..2781326)	Escherichia coli K12	947250
b2650	CDS	ypjC	NC_000913.2	2781660	2783033	R	b2650	complement(2781660..2783033)	Escherichia coli K12	947640
b4462	CDS	ygaQ	NC_000913.2	2784419	2786671	D	b4462	2784419..2786671	Escherichia coli K12	2847762
NP_417145.4	CDS	csiD	NC_000913.2	2787007	2787984	D	predicted protein	2787007..2787984	Escherichia coli K12	948076
NP_417146.2	CDS	ygaF	NC_000913.2	2788004	2789272	D	predicted enzyme	2788004..2789272	Escherichia coli K12	948069
NP_417147.1	CDS	gabD	NC_000913.2	2789295	2790743	D	succinate-semialdehyde dehydrogenase I, NADP-dependent	2789295..2790743	Escherichia coli K12	948060
NP_417148.1	CDS	gabT	NC_000913.2	2790757	2792037	D	4-aminobutyrate aminotransferase, PLP-dependent	2790757..2792037	Escherichia coli K12	948067
NP_417149.1	CDS	gabP	NC_000913.2	2792275	2793675	D	gamma-aminobutyrate transporter	2792275..2793675	Escherichia coli K12	948049
NP_417150.4	CDS	csiR	NC_000913.2	2793696	2794358	D	DNA-binding transcriptional dual regulator	2793696..2794358	Escherichia coli K12	948055
NP_417151.1	CDS	ygaU	NC_000913.2	2794359	2794808	R	predicted protein	complement(2794359..2794808)	Escherichia coli K12	947144
NP_417152.1	CDS	yqaE	NC_000913.2	2794892	2795050	R	predicted membrane protein	complement(2794892..2795050)	Escherichia coli K12	947138
NP_417153.1	CDS	ygaV	NC_000913.2	2795233	2795532	D	predicted DNA-binding transcriptional regulator	2795233..2795532	Escherichia coli K12	947136
NP_417154.1	CDS	ygaP	NC_000913.2	2795542	2796066	D	predicted inner membrane protein with hydrolase activity	2795542..2796066	Escherichia coli K12	947135
NP_417155.1	CDS	stpA	NC_000913.2	2796113	2796517	R	DNA binding protein, nucleoid-associated	complement(2796113..2796517)	Escherichia coli K12	947130
NP_417156.1	CDS	ygaW	NC_000913.2	2797186	2797635	D	predicted inner membrane protein	2797186..2797635	Escherichia coli K12	947147
NP_417157.1	CDS	ygaC	NC_000913.2	2797672	2798016	R	predicted protein	complement(2797672..2798016)	Escherichia coli K12	947156
NP_417158.3	CDS	ygaM	NC_000913.2	2798156	2798497	D	predicted protein	2798156..2798497	Escherichia coli K12	947157
NP_417159.1	CDS	nrdH	NC_000913.2	2798745	2798990	D	glutaredoxin-like protein	2798745..2798990	Escherichia coli K12	947161
NP_417160.1	CDS	nrdI	NC_000913.2	2798987	2799397	D	protein that stimulates ribonucleotide reduction	2798987..2799397	Escherichia coli K12	947158
NP_417161.1	CDS	nrdE	NC_000913.2	2799370	2801514	D	ribonucleoside-diphosphate reductase 2, alpha subunit	2799370..2801514	Escherichia coli K12	947155
NP_417162.1	CDS	nrdF	NC_000913.2	2801524	2802483	D	ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein	2801524..2802483	Escherichia coli K12	947149
NP_417163.1	CDS	proV	NC_000913.2	2802837	2804039	D	glycine betaine transporter subunit	2802837..2804039	Escherichia coli K12	947148
NP_417164.1	CDS	proW	NC_000913.2	2804032	2805096	D	glycine betaine transporter subunit	2804032..2805096	Escherichia coli K12	947145
NP_417165.1	CDS	proX	NC_000913.2	2805154	2806146	D	glycine betaine transporter subunit	2805154..2806146	Escherichia coli K12	947165
b2681	CDS	ygaY	NC_000913.2	2806338	2807515	D	b2681	2806338..2807515	Escherichia coli K12	2847696
NP_417167.1	CDS	ygaZ	NC_000913.2	2807639	2808376	D	predicted transporter	2807639..2808376	Escherichia coli K12	945093
NP_417168.1	CDS	ygaH	NC_000913.2	2808366	2808701	D	predicted inner membrane protein	2808366..2808701	Escherichia coli K12	945111
NP_417169.1	CDS	mprA	NC_000913.2	2808792	2809322	D	DNA-binding transcriptional repressor of microcin B17 synthesis and multidrug efflux	2808792..2809322	Escherichia coli K12	945282
NP_417170.1	CDS	emrA	NC_000913.2	2809449	2810621	D	multidrug efflux system	2809449..2810621	Escherichia coli K12	947166
NP_417171.1	CDS	emrB	NC_000913.2	2810638	2812176	D	multidrug efflux system protein	2810638..2812176	Escherichia coli K12	947167
NP_417172.1	CDS	luxS	NC_000913.2	2812240	2812755	R	S-ribosylhomocysteinase	complement(2812240..2812755)	Escherichia coli K12	947168
NP_417173.1	CDS	gshA	NC_000913.2	2812905	2814461	R	gamma-glutamate-cysteine ligase	complement(2812905..2814461)	Escherichia coli K12	944881
NP_417174.1	CDS	yqaA	NC_000913.2	2814534	2814962	R	conserved inner membrane protein	complement(2814534..2814962)	Escherichia coli K12	945419
NP_417175.1	CDS	yqaB	NC_000913.2	2814959	2815525	R	predicted hydrolase	complement(2814959..2815525)	Escherichia coli K12	945776
NP_417176.1	CDS	csrA	NC_000913.2	2816983	2817168	R	pleiotropic regulatory protein for carbon source metabolism	complement(2816983..2817168)	Escherichia coli K12	947176
NP_417177.1	CDS	alaS	NC_000913.2	2817403	2820033	R	alanyl-tRNA synthetase	complement(2817403..2820033)	Escherichia coli K12	947175
NP_417178.1	CDS	recX	NC_000913.2	2820161	2820661	R	regulatory protein for RecA	complement(2820161..2820661)	Escherichia coli K12	947172
NP_417179.1	CDS	recA	NC_000913.2	2820730	2821791	R	DNA strand exchange and recombination protein with protease and nuclease activity	complement(2820730..2821791)	Escherichia coli K12	947170
NP_417180.1	CDS	ygaD	NC_000913.2	2821871	2822368	R	conserved protein	complement(2821871..2822368)	Escherichia coli K12	947169
NP_417181.1	CDS	mltB	NC_000913.2	2822513	2823598	R	membrane-bound lytic murein transglycosylase B	complement(2822513..2823598)	Escherichia coli K12	947184
YP_026180.1	CDS	srlA	NC_000913.2	2823854	2824417	D	glucitol/sorbitol-specific enzyme IIC component of PTS	2823854..2824417	Escherichia coli K12	947575
YP_026181.1	CDS	srlE	NC_000913.2	2824414	2825373	D	glucitol/sorbitol-specific enzyme IIB component of PTS	2824414..2825373	Escherichia coli K12	948933
NP_417184.1	CDS	srlB	NC_000913.2	2825384	2825755	D	glucitol/sorbitol-specific enzyme IIA component of PTS	2825384..2825755	Escherichia coli K12	948971
NP_417185.1	CDS	srlD	NC_000913.2	2825759	2826538	D	sorbitol-6-phosphate dehydrogenase	2825759..2826538	Escherichia coli K12	948937
NP_417186.1	CDS	gutM	NC_000913.2	2826643	2827002	D	DNA-binding transcriptional activator of glucitol operon	2826643..2827002	Escherichia coli K12	948938
NP_417187.1	CDS	srlR	NC_000913.2	2827069	2827842	D	DNA-bindng transcriptional repressor	2827069..2827842	Escherichia coli K12	948942
NP_417188.4	CDS	gutQ	NC_000913.2	2827835	2828800	D	predicted phosphosugar-binding protein	2827835..2828800	Escherichia coli K12	947587
NP_417189.2	CDS	norR	NC_000913.2	2828797	2830311	R	DNA-binding transcriptional activator	complement(2828797..2830311)	Escherichia coli K12	947186
NP_417190.1	CDS	norV	NC_000913.2	2830498	2831937	D	flavorubredoxin oxidoreductase	2830498..2831937	Escherichia coli K12	948979
NP_417191.1	CDS	norW	NC_000913.2	2831934	2833067	D	NADH:flavorubredoxin oxidoreductase	2831934..2833067	Escherichia coli K12	947088
NP_417192.1	CDS	hypF	NC_000913.2	2833195	2835447	R	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases	complement(2833195..2835447)	Escherichia coli K12	944963
NP_417193.1	CDS	hydN	NC_000913.2	2835600	2836127	R	formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit	complement(2835600..2836127)	Escherichia coli K12	947190
NP_417194.1	CDS	ascG	NC_000913.2	2836276	2837289	R	DNA-binding transcriptional repressor	complement(2836276..2837289)	Escherichia coli K12	947305
YP_026182.1	CDS	ascF	NC_000913.2	2837546	2839003	D	fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component	2837546..2839003	Escherichia coli K12	947154
NP_417196.1	CDS	ascB	NC_000913.2	2839012	2840436	D	cryptic 6-phospho-beta-glucosidase	2839012..2840436	Escherichia coli K12	947460
NP_417197.1	CDS	hycI	NC_000913.2	2840595	2841065	R	protease involved in processing C-terminal end of HycE	complement(2840595..2841065)	Escherichia coli K12	947428
NP_417198.1	CDS	hycH	NC_000913.2	2841058	2841468	R	protein required for maturation of hydrogenase 3	complement(2841058..2841468)	Escherichia coli K12	947438
NP_417199.1	CDS	hycG	NC_000913.2	2841465	2842232	R	hydrogenase 3 and formate hydrogenase complex, HycG subunit	complement(2841465..2842232)	Escherichia coli K12	947191
NP_417200.1	CDS	hycF	NC_000913.2	2842232	2842774	R	formate hydrogenlyase complex iron-sulfur protein	complement(2842232..2842774)	Escherichia coli K12	947048
NP_417201.1	CDS	hycE	NC_000913.2	2842784	2844493	R	hydrogenase 3, large subunit	complement(2842784..2844493)	Escherichia coli K12	947396
NP_417202.1	CDS	hycD	NC_000913.2	2844511	2845434	R	hydrogenase 3, membrane subunit	complement(2844511..2845434)	Escherichia coli K12	948994
NP_417203.1	CDS	hycC	NC_000913.2	2845437	2847263	R	hydrogenase 3, membrane subunit	complement(2845437..2847263)	Escherichia coli K12	945327
NP_417204.1	CDS	hycB	NC_000913.2	2847260	2847871	R	hydrogenase 3, Fe-S subunit	complement(2847260..2847871)	Escherichia coli K12	948002
NP_417205.1	CDS	hycA	NC_000913.2	2847996	2848457	R	regulator of the transcriptional regulator FhlA	complement(2847996..2848457)	Escherichia coli K12	947193
NP_417206.1	CDS	hypA	NC_000913.2	2848669	2849019	D	protein involved in nickel insertion into hydrogenases 3	2848669..2849019	Escherichia coli K12	947195
NP_417207.1	CDS	hypB	NC_000913.2	2849023	2849895	D	GTP hydrolase involved in nickel liganding into hydrogenases	2849023..2849895	Escherichia coli K12	947194
NP_417208.1	CDS	hypC	NC_000913.2	2849886	2850158	D	protein required for maturation of hydrogenases 1 and 3	2849886..2850158	Escherichia coli K12	947192
NP_417209.1	CDS	hypD	NC_000913.2	2850158	2851279	D	protein required for maturation of hydrogenases	2850158..2851279	Escherichia coli K12	947189
NP_417210.1	CDS	hypE	NC_000913.2	2851318	2852286	D	carbamoyl phosphate phosphatase, hydrogenase 3 maturation protein	2851318..2852286	Escherichia coli K12	947182
NP_417211.1	CDS	fhlA	NC_000913.2	2852360	2854438	D	DNA-binding transcriptional activator	2852360..2854438	Escherichia coli K12	947181
NP_417212.1	CDS	ygbA	NC_000913.2	2854475	2854828	R	predicted protein	complement(2854475..2854828)	Escherichia coli K12	947187
NP_417213.1	CDS	mutS	NC_000913.2	2855115	2857676	D	methyl-directed mismatch repair protein	2855115..2857676	Escherichia coli K12	947206
NP_417214.1	CDS	pphB	NC_000913.2	2857782	2858438	D	serine/threonine-specific protein phosphatase 2	2857782..2858438	Escherichia coli K12	947196
NP_417215.1	CDS	ygbI	NC_000913.2	2858489	2859286	R	predicted DNA-binding transcriptional regulator	complement(2858489..2859286)	Escherichia coli K12	947204
NP_417216.1	CDS	ygbJ	NC_000913.2	2859452	2860360	D	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain	2859452..2860360	Escherichia coli K12	947200
NP_417217.1	CDS	ygbK	NC_000913.2	2860357	2861523	D	conserved protein	2860357..2861523	Escherichia coli K12	947199
NP_417218.1	CDS	ygbL	NC_000913.2	2861615	2862253	D	predicted class II aldolase	2861615..2862253	Escherichia coli K12	947197
NP_417219.1	CDS	ygbM	NC_000913.2	2862258	2863034	D	conserved protein	2862258..2863034	Escherichia coli K12	947207
NP_417220.1	CDS	ygbN	NC_000913.2	2863123	2864487	D	predicted transporter	2863123..2864487	Escherichia coli K12	947208
NP_417221.1	CDS	rpoS	NC_000913.2	2864581	2865573	R	RNA polymerase, sigma S (sigma 38) factor	complement(2864581..2865573)	Escherichia coli K12	947210
NP_417222.1	CDS	nlpD	NC_000913.2	2865636	2866775	R	predicted outer membrane lipoprotein	complement(2865636..2866775)	Escherichia coli K12	947011
NP_417223.1	CDS	pcm	NC_000913.2	2866915	2867541	R	L-isoaspartate protein carboxylmethyltransferase type II	complement(2866915..2867541)	Escherichia coli K12	944923
NP_417224.1	CDS	surE	NC_000913.2	2867535	2868296	R	broad specificity 5'(3')-nucleotidase and polyphosphatase	complement(2867535..2868296)	Escherichia coli K12	947211
NP_417225.1	CDS	truD	NC_000913.2	2868277	2869326	R	pseudoruidine synthase	complement(2868277..2869326)	Escherichia coli K12	947214
NP_417226.1	CDS	ispF	NC_000913.2	2869323	2869802	R	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	complement(2869323..2869802)	Escherichia coli K12	945057
NP_417227.1	CDS	ispD	NC_000913.2	2869802	2870512	R	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	complement(2869802..2870512)	Escherichia coli K12	948269
NP_417228.1	CDS	ftsB	NC_000913.2	2870531	2870842	R	cell division protein	complement(2870531..2870842)	Escherichia coli K12	946033
NP_417229.1	CDS	ygbE	NC_000913.2	2871036	2871359	R	conserved inner membrane protein	complement(2871036..2871359)	Escherichia coli K12	947268
NP_417230.1	CDS	cysC	NC_000913.2	2871409	2872014	R	adenosine 5'-phosphosulfate kinase	complement(2871409..2872014)	Escherichia coli K12	947221
NP_417231.1	CDS	cysN	NC_000913.2	2872014	2873441	R	sulfate adenylyltransferase, subunit 1	complement(2872014..2873441)	Escherichia coli K12	947219
NP_417232.1	CDS	cysD	NC_000913.2	2873443	2874351	R	sulfate adenylyltransferase, subunit 2	complement(2873443..2874351)	Escherichia coli K12	947217
NP_417233.1	CDS	iap	NC_000913.2	2874603	2875640	D	aminopeptidase in alkaline phosphatase isozyme conversion	2874603..2875640	Escherichia coli K12	947215
NP_417234.2	CDS	ygbF	NC_000913.2	2876591	2876875	R	predicted protein	complement(2876591..2876875)	Escherichia coli K12	947213
NP_417235.1	CDS	ygbT	NC_000913.2	2876877	2877794	R	conserved protein	complement(2876877..2877794)	Escherichia coli K12	947228
NP_417236.1	CDS	ygcH	NC_000913.2	2877810	2878409	R	predicted protein	complement(2877810..2878409)	Escherichia coli K12	947226
NP_417237.2	CDS	ygcI	NC_000913.2	2878396	2879070	R	predicted protein	complement(2878396..2879070)	Escherichia coli K12	947225
NP_417238.1	CDS	ygcJ	NC_000913.2	2879073	2880164	R	predicted protein	complement(2879073..2880164)	Escherichia coli K12	947224
NP_417239.1	CDS	ygcK	NC_000913.2	2880177	2880659	R	predicted protein	complement(2880177..2880659)	Escherichia coli K12	947223
NP_417240.1	CDS	ygcL	NC_000913.2	2880652	2882160	R	predicted protein	complement(2880652..2882160)	Escherichia coli K12	947222
NP_417241.1	CDS	ygcB	NC_000913.2	2882575	2885241	R	conserved protein, member of DEAD box family	complement(2882575..2885241)	Escherichia coli K12	947229
NP_417242.1	CDS	cysH	NC_000913.2	2885600	2886334	R	3'-phosphoadenosine 5'-phosphosulfate reductase	complement(2885600..2886334)	Escherichia coli K12	947230
NP_417243.1	CDS	cysI	NC_000913.2	2886409	2888121	R	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding	complement(2886409..2888121)	Escherichia coli K12	947231
NP_417244.1	CDS	cysJ	NC_000913.2	2888121	2889920	R	sulfite reductase, alpha subunit, flavoprotein	complement(2888121..2889920)	Escherichia coli K12	947239
NP_417245.1	CDS	sscR	NC_000913.2	2890236	2890601	D	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)	2890236..2890601	Escherichia coli K12	945123
NP_417246.4	CDS	ygcN	NC_000913.2	2890679	2891950	D	predicted oxidoreductase with FAD/NAD(P)-binding domain	2890679..2891950	Escherichia coli K12	946114
NP_417247.2	CDS	ygcO	NC_000913.2	2891941	2892201	D	predicted 4Fe-4S cluster-containing protein	2891941..2892201	Escherichia coli K12	945120
NP_417248.1	CDS	ygcP	NC_000913.2	2892218	2892793	D	predicted anti-terminator regulatory protein	2892218..2892793	Escherichia coli K12	947536
NP_417249.4	CDS	ygcQ	NC_000913.2	2892941	2893801	R	predicted flavoprotein	complement(2892941..2893801)	Escherichia coli K12	946413
NP_417250.4	CDS	ygcR	NC_000913.2	2893798	2894577	R	predicted flavoprotein	complement(2893798..2894577)	Escherichia coli K12	947240
NP_417251.2	CDS	ygcS	NC_000913.2	2894555	2895892	R	predicted transporter	complement(2894555..2895892)	Escherichia coli K12	947238
YP_026183.1	CDS	ygcU	NC_000913.2	2895986	2897440	R	predicted FAD containing dehydrogenase	complement(2895986..2897440)	Escherichia coli K12	2847709
NP_417254.4	CDS	ygcW	NC_000913.2	2897510	2898295	R	predicted deoxygluconate dehydrogenase	complement(2897510..2898295)	Escherichia coli K12	947232
NP_417255.1	CDS	yqcE	NC_000913.2	2898614	2899891	D	predicted transporter	2898614..2899891	Escherichia coli K12	947248
NP_417256.1	CDS	ygcE	NC_000913.2	2899918	2901396	D	predicted kinase	2899918..2901396	Escherichia coli K12	946193
NP_417257.1	CDS	ygcF	NC_000913.2	2902769	2903440	R	conserved protein	complement(2902769..2903440)	Escherichia coli K12	947527
NP_417258.4	CDS	ygcG	NC_000913.2	2903733	2904605	D	predicted protein	2903733..2904605	Escherichia coli K12	945247
NP_417259.1	CDS	eno	NC_000913.2	2904665	2905963	R	enolase	complement(2904665..2905963)	Escherichia coli K12	945032
